id,title,category,sub_category,grade,completeness,missing_fields,cover_file,cover_url,body_len,history_len
nalan-38,摊破浣溪沙·欲语心情梦已阑,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-38.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-38.jpg,26,0
nalan-16,青衫湿·悼亡,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-16.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-16.jpg,19,0
nalan-19,浣溪沙·欲问江梅瘦几分,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-19.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-19.jpg,24,0
nalan-21,梦江南·昏鸦尽,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-21.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-21.jpg,20,0
nalan-26,浣溪沙·一半残阳下小楼,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-26.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-26.jpg,24,0
nalan-23,浣溪沙·残雪凝辉冷画屏,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-23.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-23.jpg,24,0
nalan-32,好事近·何路向家园,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-32.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-32.jpg,22,0
nalan-35,眼儿媚·咏梅,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-35.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-35.jpg,19,0
nalan-31,采桑子·彤霞久绝飞琼字,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-31.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-31.jpg,24,0
nalan-29,如梦令·正是辘轳金井,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-29.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-29.jpg,23,0
nalan-34,忆秦娥·山重叠,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-34.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-34.jpg,20,0
nalan-33,忆秦娥·春深浅,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-33.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-33.jpg,20,0
nalan-24,忆王孙·西风一夜剪芭蕉,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-24.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-24.jpg,24,0
